Слово,Частота,Частота(%)
будете,11,0.009866%
высокий,11,0.009866%
занят,11,0.009866%
впрочем,11,0.009866%
смерть,11,0.009866%
принял,11,0.009866%
урра,11,0.009866%
груди,11,0.009866%
слез,11,0.009866%
кресле,11,0.009866%
счастливо,11,0.009866%
нарочно,11,0.009866%
шаги,11,0.009866%
нами,11,0.009866%
капитана,11,0.009866%
такая,11,0.009866%
будут,11,0.009866%
вновь,11,0.009866%
михайловну,11,0.009866%
обмануть,11,0.009866%
bon,11,0.009866%
браунау,11,0.009866%
маленький,11,0.009866%
делали,10,0.008969%
чувствовала,10,0.008969%
тою,10,0.008969%
австрийскому,10,0.008969%
мари,10,0.008969%
тон,10,0.008969%
делает,10,0.008969%
небо,10,0.008969%
останавливаясь,10,0.008969%
счастие,10,0.008969%
ума,10,0.008969%
красивый,10,0.008969%
дурно,10,0.008969%
учтиво,10,0.008969%
sa,10,0.008969%
empereur,10,0.008969%
состоянии,10,0.008969%
болконскому,10,0.008969%
вижу,10,0.008969%
волос,10,0.008969%
атаки,10,0.008969%
вина,10,0.008969%
mere,10,0.008969%
верст,10,0.008969%
вообще,10,0.008969%
границей,10,0.008969%
добрый,10,0.008969%
шла,10,0.008969%
извольте,10,0.008969%
хороша,10,0.008969%
пускай,10,0.008969%
любит,10,0.008969%
показались,10,0.008969%
виднелись,10,0.008969%
наполеона,10,0.008969%
дипломат,10,0.008969%
закрыл,10,0.008969%
поднялся,10,0.008969%
передать,10,0.008969%
рядам,10,0.008969%
либо,10,0.008969%
павловне,10,0.008969%
пошли,10,0.008969%
глядел,10,0.008969%
стоявший,10,0.008969%
мужчина,10,0.008969%
молчания,10,0.008969%
губы,10,0.008969%
мундире,10,0.008969%
заняты,10,0.008969%
знают,10,0.008969%
всею,10,0.008969%
неподвижно,10,0.008969%
генералы,10,0.008969%
курагина,10,0.008969%
спросить,10,0.008969%
молодые,10,0.008969%
знамя,10,0.008969%
веселее,10,0.008969%
везде,10,0.008969%
опустил,10,0.008969%
можем,10,0.008969%
marieie,10,0.008969%
веселый,10,0.008969%
повозки,10,0.008969%
сказано,10,0.008969%
молодых,10,0.008969%
показалась,10,0.008969%
воображении,10,0.008969%
amie,10,0.008969%
оглядывался,10,0.008969%
казак,10,0.008969%
войсками,10,0.008969%
бонапарта,10,0.008969%
кавалерии,10,0.008969%
больного,10,0.008969%
положения,10,0.008969%
принять,10,0.008969%
просила,10,0.008969%
держала,10,0.008969%
дом,10,0.008969%
старому,10,0.008969%
дорога,10,0.008969%
voir,10,0.008969%
гораздо,10,0.008969%
плечи,10,0.008969%
княгиню,10,0.008969%
княгине,10,0.008969%
дежурный,10,0.008969%
полки,10,0.008969%
умел,10,0.008969%
avec,10,0.008969%
завещание,10,0.008969%
услыхал,10,0.008969%
гвардия,10,0.008969%
живо,10,0.008969%
доктор,10,0.008969%
сначала,10,0.008969%
победе,10,0.008969%
оставил,10,0.008969%
отыскивать,10,0.008969%
большую,10,0.008969%
выразить,10,0.008969%
победа,10,0.008969%
найти,10,0.008969%
платья,10,0.008969%
солнце,10,0.008969%
голове,10,0.008969%
первую,10,0.008969%
меньше,10,0.008969%
носом,10,0.008969%
всякий,10,0.008969%
юнкер,10,0.008969%
другую,10,0.008969%
внимание,10,0.008969%
огни,10,0.008969%
такою,10,0.008969%
рассказывать,10,0.008969%
передней,10,0.008969%
рук,10,0.008969%
армией,10,0.008969%
сих,10,0.008969%
неприятелем,10,0.008969%
бежали,10,0.008969%
cet,9,0.008072%
иметь,9,0.008072%
чаще,9,0.008072%
ребята,9,0.008072%
этою,9,0.008072%
делами,9,0.008072%
м,9,0.008072%
п,9,0.008072%
делают,9,0.008072%
кончено,9,0.008072%
пристально,9,0.008072%
самим,9,0.008072%
chose,9,0.008072%
шагах,9,0.008072%
крепко,9,0.008072%
возможно,9,0.008072%
вчера,9,0.008072%
подошла,9,0.008072%
которою,9,0.008072%
va,9,0.008072%
шерер,9,0.008072%
нисколько,9,0.008072%
показал,9,0.008072%
обществе,9,0.008072%
общества,9,0.008072%
шинель,9,0.008072%
усталости,9,0.008072%
господин,9,0.008072%
внизу,9,0.008072%
плакала,9,0.008072%
мере,9,0.008072%
свитский,9,0.008072%
сестры,9,0.008072%
мнения,9,0.008072%
чог,9,0.008072%
ходить,9,0.008072%
войну,9,0.008072%
австрийские,9,0.008072%
сознание,9,0.008072%
известием,9,0.008072%
выстрелов,9,0.008072%
1805,9,0.008072%
мгновенно,9,0.008072%
французского,9,0.008072%
последний,9,0.008072%
лесу,9,0.008072%
мире,9,0.008072%
белыми,9,0.008072%
пьером,9,0.008072%
волосы,9,0.008072%
mes,9,0.008072%
прекрасные,9,0.008072%
богданыч,9,0.008072%
лиза,9,0.008072%
воли,9,0.008072%
франц,9,0.008072%
разумеется,9,0.008072%
dites,9,0.008072%
решил,9,0.008072%
направился,9,0.008072%
англичанин,9,0.008072%
madame,9,0.008072%
ногой,9,0.008072%
анной,9,0.008072%
сесть,9,0.008072%
начинал,9,0.008072%
главнокомандующему,9,0.008072%
молодости,9,0.008072%
comte,9,0.008072%
ядра,9,0.008072%
рассказать,9,0.008072%
света,9,0.008072%
думаешь,9,0.008072%
знали,9,0.008072%
какого,9,0.008072%
детства,9,0.008072%
человеком,9,0.008072%
молодым,9,0.008072%
залу,9,0.008072%
правду,9,0.008072%
пройти,9,0.008072%
перейти,9,0.008072%
направлению,9,0.008072%
возьми,9,0.008072%
tete,9,0.008072%
девушка,9,0.008072%
недалеко,9,0.008072%
числе,9,0.008072%
писать,9,0.008072%
желаю,9,0.008072%
старика,9,0.008072%
wir,9,0.008072%
батарее,9,0.008072%
направо,9,0.008072%
дел,9,0.008072%
смотра,9,0.008072%
службы,9,0.008072%
поморщился,9,0.008072%
минута,9,0.008072%
обращая,9,0.008072%
книзу,9,0.008072%
непременно,9,0.008072%
угодно,9,0.008072%
главной,9,0.008072%
наклонил,9,0.008072%
отношении,9,0.008072%
заговорила,9,0.008072%
вечером,9,0.008072%
дамы,9,0.008072%
ишь,9,0.008072%
начальников,9,0.008072%
взглядывая,9,0.008072%
приехала,9,0.008072%
сомнения,9,0.008072%
voila,9,0.008072%
рассказа,9,0.008072%
слышны,9,0.008072%
слушать,9,0.008072%
видны,9,0.008072%
лед,9,0.008072%
savez,9,0.008072%
femme,9,0.008072%
лежал,9,0.008072%
шиншин,9,0.008072%
медленно,9,0.008072%
прочь,9,0.008072%
марье,9,0.008072%
орудие,9,0.008072%
гусарский,9,0.008072%
денег,9,0.008072%
желала,9,0.008072%
грудь,9,0.008072%
выстрела,9,0.008072%
первого,9,0.008072%
petit,9,0.008072%
убить,9,0.008072%
вышли,9,0.008072%
наша,9,0.008072%
ступай,9,0.008072%
также,9,0.008072%
боится,9,0.008072%
вздохом,9,0.008072%
маленькую,9,0.008072%
вернулся,9,0.008072%
офицерами,9,0.008072%
начала,9,0.008072%
avant,8,0.007175%
будьте,8,0.007175%
батальон,8,0.007175%
слове,8,0.007175%
имеет,8,0.007175%
чувствовать,8,0.007175%
чувства,8,0.007175%
зубы,8,0.007175%
графине,8,0.007175%
счастия,8,0.007175%
20,8,0.007175%
пг,8,0.007175%
ти,8,0.007175%
прошло,8,0.007175%
самая,8,0.007175%
роту,8,0.007175%
роте,8,0.007175%
полагал,8,0.007175%
стоя,8,0.007175%
оставить,8,0.007175%
вещь,8,0.007175%
вещи,8,0.007175%
красивое,8,0.007175%
красивой,8,0.007175%
encore,8,0.007175%
особенным,8,0.007175%
странно,8,0.007175%
карета,8,0.007175%
coeur,8,0.007175%
выражения,8,0.007175%
окну,8,0.007175%
окно,8,0.007175%
счастливым,8,0.007175%
образок,8,0.007175%
отряд,8,0.007175%
особенности,8,0.007175%
виду,8,0.007175%
вида,8,0.007175%
позе,8,0.007175%
выражало,8,0.007175%
beau,8,0.007175%
чаю,8,0.007175%
стоявшего,8,0.007175%
москву,8,0.007175%
атаку,8,0.007175%
неприятельские,8,0.007175%
борисом,8,0.007175%
андреич,8,0.007175%
андреевич,8,0.007175%
дуная,8,0.007175%
pont,8,0.007175%
рукава,8,0.007175%
лучших,8,0.007175%
справа,8,0.007175%
отвечать,8,0.007175%
petite,8,0.007175%
княжен,8,0.007175%
любил,8,0.007175%
зажечь,8,0.007175%
приказание,8,0.007175%
некоторые,8,0.007175%
цель,8,0.007175%
ольмюц,8,0.007175%
поскорее,8,0.007175%
катишь,8,0.007175%
проходя,8,0.007175%
просил,8,0.007175%
французской,8,0.007175%
месту,8,0.007175%
прекрасное,8,0.007175%
общий,8,0.007175%
charmant,8,0.007175%
подъезжая,8,0.007175%
происходило,8,0.007175%
новое,8,0.007175%
стреляли,8,0.007175%
puis,8,0.007175%
мужчины,8,0.007175%
quelle,8,0.007175%
степени,8,0.007175%
вовсе,8,0.007175%
удержать,8,0.007175%
обернулся,8,0.007175%
австрии,8,0.007175%
вопросы,8,0.007175%
поговорить,8,0.007175%
какую,8,0.007175%
знамени,8,0.007175%
моих,8,0.007175%
стрельба,8,0.007175%
чувствует,8,0.007175%
нашел,8,0.007175%
глупости,8,0.007175%
нежно,8,0.007175%
выказывая,8,0.007175%
двумя,8,0.007175%
совете,8,0.007175%
накануне,8,0.007175%
пальцем,8,0.007175%
вашем,8,0.007175%
белой,8,0.007175%
криком,8,0.007175%
белые,8,0.007175%
золотой,8,0.007175%
русская,8,0.007175%
sans,8,0.007175%
женой,8,0.007175%
хорошие,8,0.007175%
исполнить,8,0.007175%
мсье,8,0.007175%
звал,8,0.007175%
дыма,8,0.007175%
vicomte,8,0.007175%
удовольствия,8,0.007175%
цыпочках,8,0.007175%
ряды,8,0.007175%
нужным,8,0.007175%
ужас,8,0.007175%
pierre,8,0.007175%
громче,8,0.007175%
comtesse,8,0.007175%
мужу,8,0.007175%
отъехал,8,0.007175%
двадцать,8,0.007175%
силами,8,0.007175%
cousin,8,0.007175%
свет,8,0.007175%
пойдем,8,0.007175%
совет,8,0.007175%
этими,8,0.007175%
туман,8,0.007175%
толпой,8,0.007175%
складки,8,0.007175%
наверное,8,0.007175%
солдату,8,0.007175%
лощине,8,0.007175%
попал,8,0.007175%
плечо,8,0.007175%
кровати,8,0.007175%
тронул,8,0.007175%
флигель,8,0.007175%
становилось,8,0.007175%
comment,8,0.007175%
осталось,8,0.007175%
козловский,8,0.007175%
жену,8,0.007175%
центре,8,0.007175%
готов,8,0.007175%
войскам,8,0.007175%
смеялись,8,0.007175%
даст,8,0.007175%
рассказ,8,0.007175%
услыхав,8,0.007175%
побежала,8,0.007175%
вошли,8,0.007175%
гвардию,8,0.007175%
перемирие,8,0.007175%
ланжерон,8,0.007175%
встала,8,0.007175%
петербурга,8,0.007175%
старался,8,0.007175%
лежала,8,0.007175%
остаться,8,0.007175%
штабе,8,0.007175%
казались,8,0.007175%
ждать,8,0.007175%
поклонился,8,0.007175%
письмом,8,0.007175%
ольмюца,8,0.007175%
победу,8,0.007175%
rien,8,0.007175%
подумать,8,0.007175%
подумала,8,0.007175%
торжественно,8,0.007175%
получить,8,0.007175%
оживленно,8,0.007175%
сравнении,8,0.007175%
муж,8,0.007175%
одинаково,8,0.007175%
замуж,8,0.007175%
peut,8,0.007175%
хорошенько,8,0.007175%
колонн,8,0.007175%
служить,8,0.007175%
первой,8,0.007175%
ответа,8,0.007175%
femmes,8,0.007175%
смех,8,0.007175%
великий,8,0.007175%
утро,8,0.007175%
взяли,8,0.007175%
ужасно,8,0.007175%
огромным,8,0.007175%
рассказывали,8,0.007175%
одною,8,0.007175%
переднюю,8,0.007175%
поцеловала,8,0.007175%
пехотный,8,0.007175%
таком,8,0.007175%
редко,8,0.007175%
засмеялись,8,0.007175%
пустил,8,0.007175%
рта,8,0.007175%
читать,8,0.007175%
кутузовым,8,0.007175%
задумался,8,0.007175%
гусара,8,0.007175%
щеки,8,0.007175%
спал,8,0.007175%
6,7,0.006278%
вспоминал,7,0.006278%
диспозиция,7,0.006278%
имени,7,0.006278%
толстой,7,0.006278%
часа,7,0.006278%
часы,7,0.006278%
изменилось,7,0.006278%
усилие,7,0.006278%
нового,7,0.006278%
австрийского,7,0.006278%
подите,7,0.006278%
чувствовали,7,0.006278%
диспозицию,7,0.006278%
р,7,0.006278%
блестящих,7,0.006278%
э,7,0.006278%
прошептала,7,0.006278%
табакерку,7,0.006278%
отчаянно,7,0.006278%
неба,7,0.006278%
рублей,7,0.006278%
гм,7,0.006278%
предполагал,7,0.006278%
позиции,7,0.006278%
позицию,7,0.006278%
рода,7,0.006278%
рукою,7,0.006278%
участь,7,0.006278%
прокричал,7,0.006278%
дурак,7,0.006278%
ушла,7,0.006278%
веру,7,0.006278%
ха,7,0.006278%
прошла,7,0.006278%
вену,7,0.006278%
вели,7,0.006278%
проехал,7,0.006278%
рота,7,0.006278%
испытать,7,0.006278%
аудитор,7,0.006278%
поэтому,7,0.006278%
дурна,7,0.006278%
elle,7,0.006278%
проходили,7,0.006278%
взгляды,7,0.006278%
злобно,7,0.006278%
ni,7,0.006278%
quand,7,0.006278%
пункт,7,0.006278%
ружья,7,0.006278%
состояние,7,0.006278%
покорно,7,0.006278%
вести,7,0.006278%
долг,7,0.006278%
вишь,7,0.006278%
пальцами,7,0.006278%
плакать,7,0.006278%
пора,7,0.006278%
возможности,7,0.006278%
оглянул,7,0.006278%
ртом,7,0.006278%
средине,7,0.006278%
месяца,7,0.006278%
возможность,7,0.006278%
адъютанту,7,0.006278%
видишь,7,0.006278%
приемную,7,0.006278%
